,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
0,9400,2011,bmw,x5,2018-06-23,19,good,6.0,gas,145000,automatic,SUV,other,1.0,13
5,14990,2014,chrysler,300,2018-06-20,15,excellent,6.0,gas,57954,automatic,sedan,black,1.0,10
7,15990,2013,honda,pilot,2019-01-07,68,excellent,6.0,gas,109473,automatic,SUV,black,1.0,11
8,11500,2012,kia,sorento,2018-07-16,19,excellent,4.0,gas,104174,automatic,SUV,other,1.0,12
10,19500,2011,chevrolet,silverado 1500,2018-09-17,38,excellent,8.0,gas,128413,automatic,pickup,black,1.0,13
12,18990,2012,ram,1500,2019-04-02,37,excellent,8.0,gas,140742,automatic,pickup,other,1.0,12
14,12990,2009,gmc,yukon,2019-01-31,24,excellent,8.0,gas,132285,automatic,SUV,black,1.0,15
16,14990,2010,ram,1500,2018-12-30,13,excellent,8.0,gas,130725,automatic,pickup,red,1.0,14
17,13990,2014,jeep,cherokee,2018-08-16,25,excellent,6.0,gas,100669,automatic,SUV,red,1.0,10
18,12500,2013,chevrolet,traverse,2019-04-09,13,excellent,6.0,gas,128325,automatic,SUV,white,1.0,11
22,7500,2004,chevrolet,silverado,2019-01-05,64,like new,8.0,gas,180000,automatic,truck,red,1.0,20
30,5000,2009,jeep,liberty,2019-02-19,14,good,6.0,gas,137273,automatic,SUV,white,1.0,15
33,3890,2011,subaru,outback,2018-12-25,31,excellent,4.0,gas,300000,automatic,SUV,white,1.0,13
39,8000,2009,ford,f-150,2019-03-31,1,good,8.0,gas,234000,automatic,truck,black,1.0,15
40,11499,2017,chevrolet,equinox,2019-01-12,36,like new,4.0,gas,54772,automatic,SUV,grey,1.0,7
43,5100,2008,honda,cr-v,2018-11-18,10,excellent,4.0,gas,188000,automatic,SUV,red,1.0,16
44,4500,2004,jeep,grand cherokee,2019-01-31,60,good,6.0,gas,168821,automatic,SUV,other,1.0,20
46,11200,2015,dodge,charger,2018-07-19,73,excellent,6.0,gas,90302,automatic,sedan,black,1.0,9
53,10400,2012,chevrolet,colorado,2019-01-30,27,excellent,5.0,gas,111871,automatic,truck,red,1.0,12
54,30300,2017,ford,f150 supercrew cab xlt,2018-07-15,14,good,6.0,gas,30339,automatic,pickup,brown,1.0,7
